Ref. no.,MedConTaCCt_ref,no_of_artifacts,Archaeological excavation,Interpretation of the context,Site,GEO1: town/city/site,GEOCoordinates1,GEOCoordinates2,GEO2_province_region,GEO3_Country,Mining_District,Mine/outcrop,OutcropCoordinates1,OutcropCoordinates2,Main ore,Material,Type_of_object,Typology,Stamps/seals/marks,Period,Chron_production_1,Chron_production_2,Chron_arch_context_1,Chron_arch_context_2,XRF,XRD,RX-EDS,ID-TIMS,TIMS,ICP-MS,LA-ICP-MS,MC-ICP-MS,206Pb/204Pb,SD/ERROR,207Pb/204Pb,SD/ERROR1,208Pb/204Pb,SD/ERROR2,207Pb/206Pb,SD/ERROR3,208Pb/206Pb,SD/ERROR4,tmod,mu12,kappa12,Lab. Analysis,Reference archaeometric publication,Observations
66,LEAD00220,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-220,-100,,,,,,,X,X,,,"18,726",,"15,654",,"38,868",,0.836,,2.0757,,,,,,Di Vacri et al. 2017: 237-286,
11,LEAD00221,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-220,-100,,,,,,,X,X,,,"18,695",,"15,653",,"38,901",,0.8373,,2.0808,,,,,,Di Vacri et al. 2017: 237-286,
12,LEAD00222,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-220,-100,,,,,,,X,X,,,"18,663",,"15,617",,"38,814",,0.8368,,2.0797,,,,,,Di Vacri et al. 2017: 237-286,
13,LEAD00223,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-220,-100,,,,,,,X,X,,,"18,689",,"15,64 ",,"38,883",,0.8369,,2.0806,,,,,,Di Vacri et al. 2017: 237-286,
18,LEAD00224,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-220,-100,,,,,,,X,X,,,"18,673",,"15,625",,"38,834",,0.8368,,2.0797,,,,,,Di Vacri et al. 2017: 237-286,
19,LEAD00225,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-220,-100,,,,,,,X,X,,,"18,668",,"15,603",,"38,859",,0.8358,,2.0816,,,,,,Di Vacri et al. 2017: 237-286,
XI,LEAD00226,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-220,-100,,,,,,,X,X,,,"18,692",,"15,634",,"38,852",,0.8364,,2.0785,,,,,,Di Vacri et al. 2017: 237-286,
XII,LEAD00227,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-220,-100,,,,,,,X,X,,,"18,581",,"15,641",,"38,749",,0.8418,,2.0855,,,,,,Di Vacri et al. 2017: 237-286,
XIII,LEAD00228,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-220,-100,,,,,,,X,X,,,"18,648",,"15,614",,"38,837",,0.8374,,2.0826,,,,,,Di Vacri et al. 2017: 237-286,
XIV,LEAD00229,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-220,-100,,,,,,,X,X,,,"18,606",,"15,614",,"38,776",,0.8392,,2.0841,,,,,,Di Vacri et al. 2017: 237-286,
68,LEAD00230,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-100,0,,,,,,,X,X,,,"18,667",,"15,641",,"38,81",,0.8379,,2.0791,,,,,,Di Vacri et al. 2017: 237-286,
70,LEAD00231,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-100,0,,,,,,,X,X,,,"18,7 ",,"15,638",,"38,8",,0.8363,,2.075,,,,,,Di Vacri et al. 2017: 237-286,
72,LEAD00232,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-100,0,,,,,,,X,X,,,"18,521",,"15,607",,"38,6",,0.8427,,2.0842,,,,,,Di Vacri et al. 2017: 237-286,
74,LEAD00233,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-100,0,,,,,,,X,X,,,"18,63 ",,"15,652",,"38,771",,0.8401,,2.081,,,,,,Di Vacri et al. 2017: 237-286,
76,LEAD00234,1,Ebusus,,Ebusus,Ibiza,39.02229,1.48261,Baleares,Spain,Uncertain,,,,,Lead,Coin / Token,,,Roman Republic,-100,0,,,,,,,X,X,,,"18,676",,"15,625",,"38,817",,0.8366,,2.0785,,,,,,Di Vacri et al. 2017: 237-286,
54.864,LEAD00235,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,676",,"1,565,389",,,,0.838182,,"2,073,838",,,,,,Domerge et al. 2016: 177-196,
54.859,LEAD00236,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,692",,"15,668",,,,0.83822,,"2,075,808",,,,,,Domerge et al. 2016: 177-196,
57.097,LEAD00237,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,692",,"15,665",,,,0.838059,,"2,075,861",,,,,,Domerge et al. 2016: 177-196,
57.093,LEAD00238,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,677",,"15,659",,,,0.838411,,"2,073,513",,,,,,Domerge et al. 2016: 177-196,
54.851,LEAD00239,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,691",,"15,664",,,,0.83805,,"2,072,816",,,,,,Domerge et al. 2016: 177-196,
54.854,LEAD00240,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,685",,"15,668",,,,0.838534,,"2,075,783",,,,,,Domerge et al. 2016: 177-196,
54.869,LEAD00241,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,705",,"15,679",,,,0.838225,,"2,075,873",,,,,,Domerge et al. 2016: 177-196,
57.125,LEAD00242,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,675",,"15,65 ",,,,0.838019,,"2,073,307",,,,,,Domerge et al. 2016: 177-196,
57.126,LEAD00243,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"1,866,974",,"1,565,146",,,,0.838333,,"207,395",,,,,,Domerge et al. 2016: 177-196,
57.065,LEAD00244,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,681",,"15,659",,,,0.838231,,"2,073,711",,,,,,Domerge et al. 2016: 177-196,
54.847,LEAD00245,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"186,743",,"156,497",,,,0.838034,,"2,073,706",,,,,,Domerge et al. 2016: 177-196,
57.09,LEAD00246,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,691",,"15,662",,,,0.837943,,"2,072,976",,,,,,Domerge et al. 2016: 177-196,
57 090a,LEAD00247,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"1,867,564",,"1,565,067",,,,0.838026,,"207,239",,,,,,Domerge et al. 2016: 177-196,
54.839,LEAD00248,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,669",,"156,426",,"387,059",,0.837892,,"2,073,271",,,,,,Domerge et al. 2016: 177-196,
57.132,LEAD00249,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,683",,"156,572",,"38,742",,0.838045,,"207,365",,,,,,Domerge et al. 2016: 177-196,
57.088,LEAD00250,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,675",,"15,653",,"38,73 ",,0.838179,,"2,073,896",,,,,,Domerge et al. 2016: 177-196,
57.122,LEAD00251,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,678",,"15,653",,"38,739",,0.838045,,"2,074,044",,,,,,Domerge et al. 2016: 177-196,
54.84,LEAD00252,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"186,739",,"1,565,677",,"38,74 ",,0.838431,,"2,074,553",,,,,,Domerge et al. 2016: 177-196,
54.835,LEAD00253,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,787",,"15,644",,"38,822",,0.832703,,"2,066,429",,,,,,Domerge et al. 2016: 177-196,
54.834,LEAD00254,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"18,779",,"15,635",,"38,805",,0.832579,,"2,066,404",,,,,,Domerge et al. 2016: 177-196,
57.106,LEAD00255,1,Comachino wreck,Wreck,Comacchio Wreck,Comacchio,44.694,12.19054,Ferrara,Italy,Cartagena-Mazarron / Sierra Almagrera,,37.273315,-1.758177,,Lead,Ingot,,,Roman,-20,-10,,,,,,,X,,,,"1,879,866",,"1,566,121",,"3,882,728",,0.833102,,"2,065,428",,,,,,Domerge et al. 2016: 177-196,
May-14,LEAD00256,1,Ses Figueretes,Wreck,Ses Figueretes,Eivissa,38.90615,1.43639,Baleares,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Ingot,,delphinus // QÂ·VIREIÂ·CÂ·F//STE,Roman,-100,0,,,,,,,X,,,,,,,,,,0.83689,,2.0806,,,,,,Domerge et al. 2016: 177-196,
Jan-15,LEAD00257,1,Torre de la sal,Wreck,Torre de la sal,Cabanes,40.13676,0.16267,Castello,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Ingot,,delphinus // QÂ·VIREIÂ·CÂ·F//STE,Roman,-100,0,,,,,,,X,,,,,,,,,,0.83696,,2.0796,,,,,,Domerge et al. 2016: 177-196,
Feb-15,LEAD00258,1,Torre de la sal,Wreck,Torre de la sal,Cabanes,40.13676,0.16267,Castello,Spain,Cartagena-Mazarron,,37.65241,-0.99888,,Lead,Ingot,,delphinus // QÂ·VIREIÂ·CÂ·F//STE,Roman,-100,0,,,,,,,X,,,,,,,,,,0.83745,,2.0826,,,,,,Domerge et al. 2016: 177-196,
95-35,LEAD00259,1,Cabrera 4,Wreck,Cabrera 4,Cabrera,39.14059,2.94102,Baleares,Spain,Sierra Morena ,Linares-La Carolina,38.36943,-3.83133,,Lead,Ingot,,[..]VA[â¦]C[..],Roman Empire,0,20,,,,,,,X,,,,18.184,,15.586,,38.265,,18.736,,2.1043,,,,,"Istituto Cobianchi, Verbania (Italy)",Domergue et al. 2012: 243-256,
98-49,LEAD00260,1,Cabrera 4,Wreck,Cabrera 4,Cabrera,39.14059,2.94102,Baleares,Spain,Sierra Morena ,Linares-La Carolina,38.36943,-3.83133,,Lead,Ingot,,[..]VA[â¦]C[..],Roman Empire,0,20,,,,,,,X,,,,18.21,,15.612,,38.353,,18.738,,2.10623,,,,,"Istituto Cobianchi, Verbania (Italy)",Domergue et al. 2012: 243-256,
98-46,LEAD00261,1,Cabrera 4,Wreck,Cabrera 4,Cabrera,39.14059,2.94102,Baleares,Spain,Sierra Morena ,Linares-La Carolina,38.36943,-3.83133,,Lead,Ingot,,T.IVENT.T.L.DVSO,Roman Empire,0,20,,,,,,,X,,,,18.253,,15.688,,38.546,,18.743,,2.1117,,,,,"Istituto Cobianchi, Verbania (Italy)",Domergue et al. 2012: 243-256,
98-47,LEAD00262,1,Cabrera 4,Wreck,Cabrera 4,Cabrera,39.14059,2.94102,Baleares,Spain,Sierra Morena ,Linares-La Carolina,38.36943,-3.83133,,Lead,Ingot,,SOC.VESC,Roman Empire,0,20,,,,,,,X,,,,18.199,,15.611,,38.366,,18.707,,2.1081,,,,,"Istituto Cobianchi, Verbania (Italy)",Domergue et al. 2012: 243-256,
DA375/2,LEAD00263,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Plate ,,,Roman,,,-20,400,,,,,,,,X,18.303,,15.6,,38.21,,0.8523,,2.0878,,,,,,Durali-Mueller et al. 2007: 155-98,
DA447/9,LEAD00264,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.369,,15.606,,38.3,,0.8496,,2.0852,,,,,,Durali-Mueller et al. 2007: 155-98,
DA1220/30,LEAD00265,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.355,,15.603,,38.26,,0.8501,,2.0846,,,,,,Durali-Mueller et al. 2007: 155-98,
DA545/50,LEAD00266,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.335,,15.606,,38.26,,0.8512,,2.0867,,,,,,Durali-Mueller et al. 2007: 155-98,
DA555/7,LEAD00267,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.319,,15.612,,38.33,,0.8522,,2.0922,,,,,,Durali-Mueller et al. 2007: 155-98,
DA1171/5,LEAD00268,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.224,,15.609,,38.3,,0.8565,,2.1019,,,,,,Durali-Mueller et al. 2007: 155-98,
DA1171/5,LEAD00269,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.371,,15.608,,38.31,,0.8496,,2.0856,,,,,,Durali-Mueller et al. 2007: 155-98,
DA1337/27,LEAD00270,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.309,,15.601,,38.22,,0.8521,,2.0875,,,,,,Durali-Mueller et al. 2007: 155-98,
DA447/8,LEAD00271,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.384,,15.609,,38.32,,0.849,,2.0843,,,,,,Durali-Mueller et al. 2007: 155-98,
DA1038/12,LEAD00272,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.299,,15.603,,38.21,,0.8527,,2.0883,,,,,,Durali-Mueller et al. 2007: 155-98,
DA1354/4,LEAD00273,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.431,,15.632,,38.52,,0.8481,,2.09,,,,,,Durali-Mueller et al. 2007: 155-98,
DA788-27,LEAD00274,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.345,,15.618,,38.36,,0.8514,,2.0911,,,,,,Durali-Mueller et al. 2007: 155-98,
DA551/26,LEAD00275,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.315,,15.603,,38.23,,0.8519,,2.0873,,,,,,Durali-Mueller et al. 2007: 155-98,
DA925,LEAD00276,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.343,,15.605,,38.25,,0.8507,,2.0854,,,,,,Durali-Mueller et al. 2007: 155-98,
DA1291/8,LEAD00277,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.35,,15.616,,38.33,,0.851,,2.0889,,,,,,Durali-Mueller et al. 2007: 155-98,
DA1039,LEAD00278,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.36,,15.605,,38.27,,0.8499,,2.0845,,,,,,Durali-Mueller et al. 2007: 155-98,
DA707,LEAD00279,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Ring,,,Roman,,,-20,400,,,,,,,,X,18.212,,15.614,,38.32,,0.8573,,2.1042,,,,,,Durali-Mueller et al. 2007: 155-98,
DA547/4,LEAD00280,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.247,,15.598,,38.15,,0.8548,,2.0908,,,,,,Durali-Mueller et al. 2007: 155-98,
DA700-33,LEAD00281,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.382,,15.607,,38.31,,0.849,,2.0842,,,,,,Durali-Mueller et al. 2007: 155-98,
DA562/15,LEAD00282,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.357,,15.605,,38.27,,0.8501,,2.0847,,,,,,Durali-Mueller et al. 2007: 155-98,
DA1330/4,LEAD00283,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.371,,15.606,,38.29,,0.8495,,2.0843,,,,,,Durali-Mueller et al. 2007: 155-98,
DA437A/15,LEAD00284,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Ribbon,,,Roman,,,-20,400,,,,,,,,X,18.382,,15.607,,38.31,,0.849,,2.0843,,,,,,Durali-Mueller et al. 2007: 155-98,
bei Grube 265,LEAD00285,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.303,,15.602,,38.21,,0.8524,,2.0877,,,,,,Durali-Mueller et al. 2007: 155-98,
bei Grube 544,LEAD00286,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.363,,15.629,,38.51,,0.8511,,2.0972,,,,,,Durali-Mueller et al. 2007: 155-98,
bei Grube 217,LEAD00287,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.426,,15.63,,38.5,,0.8483,,2.0896,,,,,,Durali-Mueller et al. 2007: 155-98,
DA449/45,LEAD00288,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.408,,15.633,,38.55,,0.8492,,2.0941,,,,,,Durali-Mueller et al. 2007: 155-98,
DA449/44,LEAD00289,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Ingot,,,Roman,,,-20,400,,,,,,,,X,18.269,,15.602,,38.18,,0.854,,2.0897,,,,,,Durali-Mueller et al. 2007: 155-98,
I,LEAD00290,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Solder,,,Roman,,,-20,400,,,,,,,,X,18.322,,15.605,,38.24,,0.8517,,2.0871,,,,,,Durali-Mueller et al. 2007: 155-98,
II,LEAD00291,1,,,Dangstetten,Kussaberg,47.59662,8.32189,Waldshut,Germany,Eifel,,50.25341,6.67865,,Lead,Solder,,,Roman,,,-20,400,,,,,,,,X,18.346,,15.61,,38.28,,0.8509,,2.0863,,,,,,Durali-Mueller et al. 2007: 155-98,
14384,LEAD00292,1,,,Waldgirmes,Waldgirmes,50.58683,8.54967,Lahnau,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.343,,15.61,,38.27,,0.851,,2.0863,,,,,,Durali-Mueller et al. 2007: 155-98,
14597,LEAD00293,1,,,Waldgirmes,Waldgirmes,50.58683,8.54967,Lahnau,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.522,,15.625,,38.48,,0.8436,,2.078,,,,,,Durali-Mueller et al. 2007: 155-98,
14671,LEAD00294,1,,,Waldgirmes,Waldgirmes,50.58683,8.54967,Lahnau,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.457,,15.623,,38.45,,0.8464,,2.0834,,,,,,Durali-Mueller et al. 2007: 155-98,
19396,LEAD00295,1,,,Waldgirmes,Waldgirmes,50.58683,8.54967,Lahnau,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.172,,15.597,,38.08,,0.8583,,2.0953,,,,,,Durali-Mueller et al. 2007: 155-98,
19858,LEAD00296,1,,,Waldgirmes,Waldgirmes,50.58683,8.54967,Lahnau,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.344,,15.611,,38.27,,0.851,,2.0864,,,,,,Durali-Mueller et al. 2007: 155-98,
20054,LEAD00297,1,,,Waldgirmes,Waldgirmes,50.58683,8.54967,Lahnau,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18..233,,15.607,,38.14,,0.856,,2.092,,,,,,Durali-Mueller et al. 2007: 155-98,
20597,LEAD00298,1,,,Waldgirmes,Waldgirmes,50.58683,8.54967,Lahnau,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.171,,15.597,,38.08,,0.8584,,2.0956,,,,,,Durali-Mueller et al. 2007: 155-98,
22194,LEAD00299,1,,,Waldgirmes,Waldgirmes,50.58683,8.54967,Lahnau,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.418,,15.618,,38.39,,0.8479,,2.0842,,,,,,Durali-Mueller et al. 2007: 155-98,
22443,LEAD00300,1,,,Waldgirmes,Waldgirmes,50.58683,8.54967,Lahnau,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.362,,15.611,,38.31,,0.8502,,2.0862,,,,,,Durali-Mueller et al. 2007: 155-98,
26896,LEAD00301,1,,,Waldgirmes,Waldgirmes,50.58683,8.54967,Lahnau,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.345,,15.611,,38.27,,0.851,,2.0863,,,,,,Durali-Mueller et al. 2007: 155-98,
26930,LEAD00302,1,,,Waldgirmes,Waldgirmes,50.58683,8.54967,Lahnau,Germany,Eifel,,50.25341,6.67865,,Lead,Tablet / Sheet,,,Roman,,,-20,400,,,,,,,,X,18.365,,15.612,,38.3,,0.8501,,2.0854,,,,,,Durali-Mueller et al. 2007: 155-98,
